iter	Passed	Remaining
0	143	42944
1	149	22250
2	155	15386
3	160	11902
4	166	9808
5	172	8444
6	177	7444
7	183	6704
8	188	6098
9	193	5615
10	198	5218
11	203	4895
12	209	4620
13	216	4415
14	222	4228
15	228	4053
16	234	3902
17	239	3756
18	245	3634
19	251	3516
20	257	3421
21	264	3342
22	270	3256
23	275	3169
24	282	3109
25	288	3039
26	294	2981
27	300	2919
28	307	2871
29	313	2823
30	319	2769
31	324	2720
32	330	2676
33	337	2641
34	344	2604
35	350	2567
36	356	2533
37	364	2513
38	370	2478
39	376	2448
40	382	2417
41	390	2401
42	397	2375
43	404	2354
44	411	2329
45	417	2304
46	423	2278
47	428	2250
48	434	2225
49	440	2200
50	445	2174
51	451	2151
52	457	2132
53	463	2110
54	469	2090
55	476	2078
56	486	2072
57	493	2057
58	501	2048
59	509	2038
60	516	2023
61	524	2012
62	530	1995
63	536	1979
64	542	1963
65	549	1947
66	559	1946
67	566	1932
68	572	1916
69	578	1900
70	585	1888
71	592	1876
72	599	1863
73	605	1850
74	612	1837
75	619	1826
76	627	1818
77	633	1802
78	639	1789
79	646	1777
80	654	1768
81	659	1754
82	666	1741
83	671	1727
84	677	1712
85	683	1700
86	688	1686
87	694	1673
88	700	1661
89	706	1648
90	712	1636
91	718	1624
92	724	1613
93	731	1602
94	737	1590
95	743	1579
96	749	1569
97	755	1556
98	761	1545
99	767	1534
100	772	1522
101	778	1511
102	784	1500
103	789	1488
104	795	1476
105	800	1465
106	806	1455
107	812	1444
108	818	1433
109	823	1422
110	829	1411
111	835	1401
112	841	1392
113	848	1384
114	854	1374
115	860	1364
116	865	1353
117	870	1342
118	875	1332
119	881	1321
120	887	1312
121	892	1302
122	898	1292
123	904	1284
124	910	1274
125	916	1266
126	922	1256
127	927	1246
128	933	1237
129	938	1227
130	944	1218
131	950	1209
132	956	1200
133	962	1191
134	967	1182
135	973	1173
136	978	1164
137	984	1155
138	989	1146
139	995	1137
140	1001	1129
141	1007	1120
142	1012	1111
143	1018	1103
144	1024	1094
145	1029	1085
146	1034	1076
147	1040	1068
148	1045	1060
149	1051	1051
150	1057	1043
151	1062	1034
152	1068	1026
153	1074	1018
154	1079	1010
155	1086	1003
156	1092	995
157	1098	987
158	1105	980
159	1111	972
160	1118	965
161	1123	957
162	1129	949
163	1134	941
164	1140	932
165	1145	924
166	1152	917
167	1158	910
168	1165	903
169	1170	895
170	1176	887
171	1182	879
172	1187	871
173	1192	863
174	1198	855
175	1203	847
176	1209	840
177	1215	832
178	1221	825
179	1227	818
180	1233	810
181	1239	803
182	1244	795
183	1250	788
184	1255	780
185	1261	773
186	1267	766
187	1273	758
188	1278	750
189	1285	744
190	1291	737
191	1297	729
192	1303	722
193	1309	715
194	1319	710
195	1325	703
196	1331	696
197	1337	689
198	1344	682
199	1350	675
200	1356	667
201	1362	660
202	1368	653
203	1373	646
204	1379	639
205	1384	631
206	1391	625
207	1397	617
208	1402	610
209	1408	603
210	1414	596
211	1419	589
212	1425	582
213	1431	575
214	1437	568
215	1442	560
216	1448	553
217	1455	547
218	1462	540
219	1468	534
220	1474	527
221	1480	520
222	1485	512
223	1491	505
224	1497	499
225	1502	491
226	1507	484
227	1513	478
228	1519	471
229	1525	464
230	1531	457
231	1537	450
232	1543	443
233	1549	437
234	1555	430
235	1560	423
236	1566	416
237	1572	409
238	1577	402
239	1583	395
240	1589	389
241	1595	382
242	1601	375
243	1607	368
244	1613	362
245	1618	355
246	1624	348
247	1630	341
248	1636	335
249	1642	328
250	1648	321
251	1653	314
252	1658	308
253	1663	301
254	1669	294
255	1675	287
256	1680	281
257	1686	274
258	1691	267
259	1697	261
260	1702	254
261	1708	247
262	1714	241
263	1719	234
264	1725	227
265	1730	221
266	1736	214
267	1742	208
268	1747	201
269	1752	194
270	1758	188
271	1764	181
272	1769	175
273	1775	168
274	1781	161
275	1787	155
276	1793	148
277	1799	142
278	1807	136
279	1812	129
280	1819	122
281	1826	116
282	1832	110
283	1838	103
284	1843	97
285	1849	90
286	1854	84
287	1860	77
288	1865	71
289	1870	64
290	1875	58
291	1881	51
292	1886	45
293	1892	38
294	1897	32
295	1902	25
296	1907	19
297	1912	12
298	1917	6
299	1922	0
