,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,min_duration,age_bin,pdays_contacted
3776,40,blue-collar,married,secondary,no,580,yes,no,unknown,16,may,1,0,0,unknown,0,3.2,"(33.0, 48.0]",0
9928,47,services,single,secondary,no,3644,no,no,unknown,9,jun,2,0,0,unknown,0,1.3833333333333333,"(33.0, 48.0]",0
33409,25,student,single,tertiary,no,538,yes,no,cellular,20,apr,1,0,0,unknown,0,3.7666666666666666,"(17.925, 33.0]",0
31885,42,management,married,tertiary,no,1773,no,no,cellular,9,apr,1,336,1,failure,0,5.183333333333334,"(33.0, 48.0]",1
15738,56,management,married,tertiary,no,217,no,yes,cellular,21,jul,2,0,0,unknown,0,2.0166666666666666,"(48.0, 63.0]",0
30813,28,blue-collar,married,secondary,no,1134,no,no,cellular,9,feb,3,0,0,unknown,0,2.1666666666666665,"(17.925, 33.0]",0
35463,24,management,single,tertiary,no,1085,no,yes,cellular,7,may,6,0,0,unknown,0,1.5833333333333333,"(17.925, 33.0]",0
31382,37,admin.,single,secondary,no,127,no,no,cellular,23,mar,4,0,0,unknown,0,1.3833333333333333,"(33.0, 48.0]",0
16904,30,blue-collar,single,secondary,no,3,yes,no,cellular,25,jul,1,0,0,unknown,0,0.85,"(17.925, 33.0]",0
11930,38,technician,single,secondary,no,258,no,yes,unknown,20,jun,2,0,0,unknown,0,9.783333333333333,"(33.0, 48.0]",0
34145,33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,1,0,0,unknown,1,5.016666666666667,"(17.925, 33.0]",0
37828,48,blue-collar,divorced,secondary,no,65,yes,no,cellular,14,may,1,370,1,failure,0,2.433333333333333,"(33.0, 48.0]",1
1866,30,blue-collar,single,secondary,no,18,no,no,unknown,9,may,1,0,0,unknown,0,6.583333333333333,"(17.925, 33.0]",0
31271,31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,2,106,1,failure,1,1.8666666666666667,"(17.925, 33.0]",1
30574,30,management,single,tertiary,no,640,no,no,cellular,6,feb,4,213,2,failure,0,2.066666666666667,"(17.925, 33.0]",1
41828,30,management,single,tertiary,no,536,no,no,cellular,15,oct,1,105,1,success,1,4.066666666666666,"(17.925, 33.0]",1
37181,35,blue-collar,married,secondary,no,247,yes,yes,cellular,13,may,1,352,5,failure,0,1.9,"(33.0, 48.0]",1
39042,31,management,single,tertiary,no,518,yes,no,cellular,18,may,1,0,0,unknown,0,6.65,"(17.925, 33.0]",0
5548,46,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,3,0,0,unknown,0,2.8666666666666667,"(33.0, 48.0]",0
34197,33,management,single,tertiary,no,5437,no,no,cellular,4,may,1,91,1,failure,1,4.45,"(17.925, 33.0]",1
26191,49,self-employed,divorced,secondary,no,-478,yes,yes,cellular,20,nov,1,0,0,unknown,0,4.85,"(48.0, 63.0]",0
35078,35,management,married,tertiary,no,991,yes,no,cellular,6,may,3,0,0,unknown,1,24.816666666666666,"(33.0, 48.0]",0
34619,43,blue-collar,married,secondary,no,-755,yes,yes,cellular,5,may,1,337,1,failure,0,2.7,"(33.0, 48.0]",1
6427,44,blue-collar,divorced,secondary,no,-239,yes,no,unknown,27,may,3,0,0,unknown,0,1.85,"(33.0, 48.0]",0
27377,33,entrepreneur,single,tertiary,no,3017,no,no,cellular,21,nov,3,0,0,unknown,0,4.0,"(17.925, 33.0]",0
2729,33,services,married,secondary,no,184,yes,no,unknown,13,may,4,0,0,unknown,0,1.8166666666666667,"(17.925, 33.0]",0
40982,23,student,single,secondary,no,431,no,no,cellular,13,aug,2,0,0,unknown,1,8.266666666666667,"(17.925, 33.0]",0
19151,47,blue-collar,married,primary,no,699,no,no,cellular,5,aug,1,0,0,unknown,0,3.3833333333333333,"(33.0, 48.0]",0
18900,60,technician,married,secondary,no,914,no,no,unknown,4,aug,1,0,0,unknown,0,1.0666666666666667,"(48.0, 63.0]",0
2055,51,blue-collar,married,tertiary,no,7816,yes,no,unknown,12,may,2,0,0,unknown,0,1.2666666666666666,"(48.0, 63.0]",0
25353,56,retired,married,secondary,no,728,no,no,cellular,18,nov,2,110,15,failure,0,2.716666666666667,"(48.0, 63.0]",1
25609,59,management,married,unknown,no,3428,yes,yes,cellular,19,nov,1,0,0,unknown,0,1.7166666666666666,"(48.0, 63.0]",0
23726,49,management,married,tertiary,no,223,no,no,cellular,28,aug,22,0,0,unknown,0,0.36666666666666664,"(48.0, 63.0]",0
19138,49,admin.,married,secondary,no,2254,no,no,cellular,5,aug,1,0,0,unknown,0,1.2833333333333334,"(48.0, 63.0]",0
24802,56,technician,married,secondary,no,589,yes,no,cellular,18,nov,1,26,3,success,0,3.466666666666667,"(48.0, 63.0]",1
21887,38,technician,married,secondary,no,79,yes,no,cellular,20,aug,2,0,0,unknown,0,3.4833333333333334,"(33.0, 48.0]",0
1114,46,blue-collar,married,secondary,no,78,yes,yes,unknown,7,may,1,0,0,unknown,0,2.4166666666666665,"(33.0, 48.0]",0
14446,58,technician,single,secondary,no,409,no,yes,cellular,14,jul,2,0,0,unknown,0,10.716666666666667,"(48.0, 63.0]",0
5139,36,entrepreneur,married,secondary,no,352,yes,no,unknown,21,may,2,0,0,unknown,0,2.316666666666667,"(33.0, 48.0]",0
37863,29,blue-collar,married,secondary,no,-312,yes,yes,cellular,14,may,2,0,0,unknown,0,2.1666666666666665,"(17.925, 33.0]",0
29030,39,blue-collar,married,secondary,no,1044,yes,no,cellular,2,feb,1,0,0,unknown,0,2.6333333333333333,"(33.0, 48.0]",0
19711,36,management,single,tertiary,no,227,no,yes,cellular,7,aug,4,0,0,unknown,0,5.6,"(33.0, 48.0]",0
24088,37,admin.,married,secondary,no,1967,no,no,telephone,27,oct,1,0,0,unknown,1,6.266666666666667,"(33.0, 48.0]",0
34784,44,entrepreneur,married,primary,no,650,yes,no,cellular,6,may,2,0,0,unknown,0,2.3666666666666667,"(33.0, 48.0]",0
36955,34,blue-collar,married,primary,no,1309,yes,no,cellular,12,may,2,364,1,failure,0,7.6,"(33.0, 48.0]",1
1377,51,admin.,divorced,secondary,no,115,yes,yes,unknown,8,may,1,0,0,unknown,0,2.2666666666666666,"(48.0, 63.0]",0
44123,27,technician,single,secondary,no,337,no,no,unknown,9,jul,1,0,0,unknown,1,0.38333333333333336,"(17.925, 33.0]",0
3944,49,technician,divorced,tertiary,no,874,yes,no,unknown,16,may,2,0,0,unknown,0,2.533333333333333,"(48.0, 63.0]",0
43708,65,retired,married,unknown,no,679,no,no,cellular,13,may,2,178,1,success,0,9.883333333333333,"(63.0, 78.0]",1
9604,36,services,married,secondary,no,8114,yes,no,unknown,6,jun,1,0,0,unknown,0,8.416666666666666,"(33.0, 48.0]",0
29260,32,management,single,secondary,no,453,yes,no,cellular,2,feb,1,269,2,failure,0,9.066666666666666,"(17.925, 33.0]",1
34713,56,management,married,tertiary,no,0,yes,no,telephone,5,may,2,0,0,unknown,0,4.316666666666666,"(48.0, 63.0]",0
16657,28,blue-collar,married,secondary,no,258,yes,no,cellular,24,jul,1,0,0,unknown,0,2.2333333333333334,"(17.925, 33.0]",0
14921,59,management,married,tertiary,no,2540,no,no,cellular,16,jul,5,0,0,unknown,0,23.866666666666667,"(48.0, 63.0]",0
12341,28,blue-collar,married,secondary,no,196,yes,no,unknown,26,jun,7,0,0,unknown,0,2.933333333333333,"(17.925, 33.0]",0
29675,33,unemployed,single,tertiary,no,14889,yes,no,cellular,3,feb,3,0,0,unknown,0,0.36666666666666664,"(17.925, 33.0]",0
13253,44,management,married,tertiary,no,0,no,no,cellular,8,jul,2,0,0,unknown,0,0.9,"(33.0, 48.0]",0
11331,39,housemaid,single,primary,no,1340,no,no,unknown,18,jun,2,0,0,unknown,0,1.8833333333333333,"(33.0, 48.0]",0
39774,33,management,married,tertiary,no,1323,no,no,cellular,1,jun,1,0,0,unknown,1,5.45,"(17.925, 33.0]",0
11839,60,unknown,married,primary,no,4722,no,no,unknown,20,jun,3,0,0,unknown,0,7.65,"(48.0, 63.0]",0
44106,34,services,single,secondary,no,267,no,no,cellular,8,jul,2,0,0,unknown,1,7.483333333333333,"(33.0, 48.0]",0
1644,33,blue-collar,divorced,primary,no,60,no,no,unknown,9,may,1,0,0,unknown,0,2.183333333333333,"(17.925, 33.0]",0
22855,39,management,divorced,tertiary,no,355,yes,no,cellular,25,aug,5,0,0,unknown,0,5.216666666666667,"(33.0, 48.0]",0
5847,31,blue-collar,divorced,secondary,no,-452,yes,no,unknown,26,may,5,0,0,unknown,0,3.033333333333333,"(17.925, 33.0]",0
12574,38,management,married,secondary,no,93,no,no,unknown,3,jul,2,0,0,unknown,0,8.583333333333334,"(33.0, 48.0]",0
26528,32,blue-collar,married,secondary,no,10142,yes,no,cellular,20,nov,1,0,0,unknown,0,4.15,"(17.925, 33.0]",0
297,24,student,single,secondary,no,82,yes,no,unknown,5,may,2,0,0,unknown,0,3.4,"(17.925, 33.0]",0
35979,40,self-employed,married,secondary,no,1270,yes,no,cellular,8,may,2,0,0,unknown,0,17.483333333333334,"(33.0, 48.0]",0
14956,47,technician,single,secondary,no,80,yes,no,cellular,16,jul,5,0,0,unknown,0,2.816666666666667,"(33.0, 48.0]",0
36270,37,admin.,single,secondary,no,-17,yes,no,cellular,11,may,2,340,2,failure,0,6.666666666666667,"(33.0, 48.0]",1
29716,57,management,married,tertiary,no,113,no,no,cellular,3,feb,2,0,0,unknown,0,3.183333333333333,"(48.0, 63.0]",0
3025,44,admin.,married,secondary,no,447,yes,yes,unknown,14,may,5,0,0,unknown,0,1.7666666666666666,"(33.0, 48.0]",0
38857,31,technician,single,secondary,no,-348,yes,no,cellular,18,may,1,0,0,unknown,0,6.833333333333333,"(17.925, 33.0]",0
31164,29,admin.,married,tertiary,no,238,no,no,cellular,26,feb,1,0,0,unknown,0,1.3166666666666667,"(17.925, 33.0]",0
1470,60,blue-collar,divorced,primary,no,7601,yes,no,unknown,8,may,1,0,0,unknown,0,4.75,"(48.0, 63.0]",0
36553,55,technician,married,secondary,no,-14,yes,no,cellular,12,may,4,0,0,unknown,0,1.3666666666666667,"(48.0, 63.0]",0
10460,50,unemployed,married,primary,no,210,no,no,unknown,16,jun,2,0,0,unknown,0,4.116666666666666,"(48.0, 63.0]",0
17398,26,services,single,secondary,no,1163,no,yes,cellular,28,jul,4,0,0,unknown,0,3.9833333333333334,"(17.925, 33.0]",0
40429,28,management,single,tertiary,no,492,no,no,cellular,2,jul,1,0,0,unknown,0,4.683333333333334,"(17.925, 33.0]",0
16618,41,admin.,married,secondary,no,2661,yes,no,telephone,24,jul,1,0,0,unknown,0,4.3,"(33.0, 48.0]",0
4,33,unknown,single,unknown,no,1,no,no,unknown,5,may,1,0,0,unknown,0,3.3,"(17.925, 33.0]",0
646,37,technician,married,secondary,no,123,yes,yes,unknown,6,may,2,0,0,unknown,0,8.833333333333334,"(33.0, 48.0]",0
9134,53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,1,0,0,unknown,1,11.683333333333334,"(48.0, 63.0]",0
25089,45,self-employed,married,tertiary,no,-312,no,no,telephone,18,nov,4,0,0,unknown,0,0.7666666666666667,"(33.0, 48.0]",0
42354,61,technician,married,primary,no,2282,no,no,cellular,25,nov,1,0,0,unknown,0,18.2,"(48.0, 63.0]",0
28092,48,management,married,unknown,no,375,no,no,cellular,28,jan,3,0,0,unknown,0,4.833333333333333,"(33.0, 48.0]",0
39910,29,technician,single,secondary,no,1165,no,no,cellular,2,jun,1,0,0,unknown,1,4.083333333333333,"(17.925, 33.0]",0
23891,34,technician,married,secondary,yes,91,no,no,cellular,29,aug,4,0,0,unknown,0,1.1166666666666667,"(33.0, 48.0]",0
9205,35,self-employed,married,secondary,no,188,yes,yes,unknown,5,jun,2,0,0,unknown,1,31.083333333333332,"(33.0, 48.0]",0
