age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,min_duration,age_bin,pdays_contacted
48,management,married,primary,no,1910,yes,no,unknown,29,may,2,0,0,unknown,6.883333333333334,"(33.0, 48.0]",0
42,services,married,tertiary,no,412,yes,no,telephone,19,nov,4,169,5,failure,2.3666666666666667,"(33.0, 48.0]",1
35,technician,single,tertiary,no,485,yes,no,unknown,29,may,5,0,0,unknown,3.4166666666666665,"(33.0, 48.0]",0
71,retired,married,tertiary,no,4388,no,no,cellular,5,feb,1,183,3,other,5.766666666666667,"(63.0, 78.0]",1
47,admin.,married,secondary,no,298,yes,no,cellular,11,may,1,0,0,unknown,3.05,"(33.0, 48.0]",0
57,management,married,tertiary,no,1602,no,no,cellular,29,jul,3,0,0,unknown,5.65,"(48.0, 63.0]",0
44,blue-collar,married,primary,no,622,yes,no,unknown,21,feb,1,0,0,unknown,1.1,"(33.0, 48.0]",0
42,management,single,tertiary,no,7560,no,no,cellular,28,jan,1,0,0,unknown,2.2,"(33.0, 48.0]",0
54,admin.,married,secondary,no,0,no,no,cellular,27,jan,1,0,0,unknown,9.416666666666666,"(48.0, 63.0]",0
41,management,married,tertiary,no,527,no,no,cellular,22,aug,1,0,0,unknown,1.6,"(33.0, 48.0]",0
38,services,married,tertiary,no,-121,yes,no,unknown,21,may,1,0,0,unknown,4.8,"(33.0, 48.0]",0
50,blue-collar,married,secondary,no,3988,no,no,unknown,30,jun,4,0,0,unknown,2.75,"(48.0, 63.0]",0
33,services,divorced,unknown,no,392,yes,no,cellular,15,jul,4,0,0,unknown,12.55,"(17.925, 33.0]",0
28,blue-collar,single,secondary,yes,87,yes,no,cellular,7,may,1,345,1,failure,0.45,"(17.925, 33.0]",1
27,management,single,tertiary,no,80,no,no,cellular,27,may,2,0,0,unknown,3.1333333333333333,"(17.925, 33.0]",0
40,management,single,tertiary,no,1247,yes,no,cellular,9,jul,1,0,0,unknown,2.6166666666666667,"(33.0, 48.0]",0
