iter	Passed	Remaining
0	144	43226
1	149	22323
2	155	15385
3	160	11887
4	165	9786
5	171	8421
6	177	7411
7	182	6647
8	188	6079
9	193	5608
10	198	5210
11	203	4879
12	208	4602
13	213	4367
14	219	4173
15	225	4001
16	230	3839
17	236	3700
18	241	3571
19	246	3456
20	252	3359
21	258	3269
22	264	3186
23	270	3106
24	275	3033
25	280	2960
26	287	2905
27	292	2844
28	298	2786
29	304	2737
30	309	2684
31	314	2637
32	320	2593
33	326	2553
34	332	2515
35	337	2478
36	343	2441
37	349	2407
38	355	2377
39	360	2344
40	366	2314
41	371	2284
42	377	2254
43	383	2233
44	389	2206
45	394	2179
46	401	2160
47	406	2134
48	413	2117
49	419	2096
50	424	2074
51	431	2059
52	437	2038
53	442	2016
54	448	1998
55	454	1978
56	460	1962
57	466	1944
58	471	1925
59	477	1911
60	483	1895
61	490	1881
62	497	1869
63	502	1854
64	510	1844
65	516	1830
66	522	1815
67	528	1801
68	533	1787
69	539	1772
70	545	1758
71	551	1744
72	558	1736
73	564	1723
74	570	1711
75	577	1701
76	584	1691
77	590	1679
78	596	1667
79	602	1655
80	608	1645
81	614	1634
82	620	1623
83	626	1611
84	632	1599
85	638	1588
86	647	1584
87	653	1574
88	660	1566
89	666	1554
90	672	1545
91	678	1533
92	684	1522
93	690	1513
94	696	1502
95	702	1493
96	708	1482
97	713	1471
98	722	1466
99	728	1456
100	734	1446
101	740	1436
102	745	1426
103	752	1418
104	758	1409
105	766	1402
106	772	1393
107	779	1385
108	786	1377
109	792	1369
110	799	1361
111	806	1352
112	812	1344
113	819	1337
114	826	1329
115	832	1320
116	838	1311
117	844	1302
118	850	1293
119	857	1286
120	863	1278
121	870	1269
122	876	1260
123	882	1252
124	888	1243
125	894	1235
126	901	1227
127	907	1219
128	914	1212
129	920	1204
130	926	1195
131	933	1187
132	938	1178
133	946	1172
134	953	1164
135	959	1157
136	965	1149
137	971	1140
138	979	1134
139	985	1126
140	991	1118
141	997	1110
142	1003	1102
143	1010	1094
144	1016	1086
145	1022	1078
146	1028	1070
147	1035	1063
148	1041	1055
149	1047	1047
150	1054	1040
151	1060	1032
152	1066	1024
153	1072	1016
154	1078	1008
155	1084	1000
156	1090	992
157	1095	984
158	1103	978
159	1109	970
160	1115	963
161	1121	955
162	1127	947
163	1133	940
164	1139	932
165	1146	925
166	1152	917
167	1158	910
168	1164	902
169	1170	895
170	1176	887
171	1183	880
172	1188	872
173	1195	865
174	1201	858
175	1206	850
176	1212	842
177	1219	835
178	1225	828
179	1231	821
180	1237	813
181	1243	806
182	1249	798
183	1256	792
184	1262	784
185	1268	777
186	1274	770
187	1280	762
188	1285	755
189	1291	747
190	1297	740
191	1304	733
192	1309	726
193	1316	719
194	1322	712
195	1328	705
196	1334	697
197	1340	690
198	1347	683
199	1353	676
200	1359	669
201	1365	662
202	1371	655
203	1378	648
204	1383	641
205	1389	633
206	1395	627
207	1401	620
208	1408	613
209	1413	605
210	1419	598
211	1425	591
212	1431	584
213	1438	577
214	1444	571
215	1450	564
216	1456	557
217	1462	550
218	1469	543
219	1475	536
220	1482	529
221	1488	523
222	1494	516
223	1500	509
224	1507	502
225	1513	495
226	1519	488
227	1525	481
228	1531	474
229	1538	468
230	1544	461
231	1548	453
232	1554	447
233	1560	440
234	1566	433
235	1573	426
236	1579	419
237	1584	412
238	1591	406
239	1597	399
240	1606	393
241	1612	386
242	1620	380
243	1627	373
244	1634	366
245	1640	360
246	1646	353
247	1654	346
248	1661	340
249	1670	334
250	1677	327
251	1687	321
252	1695	314
253	1702	308
254	1708	301
255	1715	294
256	1721	288
257	1728	281
258	1735	274
259	1742	268
260	1759	262
261	1766	256
262	1772	249
263	1778	242
264	1785	235
265	1791	228
266	1798	222
267	1804	215
268	1810	208
269	1816	201
270	1824	195
271	1830	188
272	1837	181
273	1843	174
274	1849	168
275	1856	161
276	1863	154
277	1870	148
278	1878	141
279	1884	134
280	1890	127
281	1897	121
282	1903	114
283	1911	107
284	1917	100
285	1924	94
286	1930	87
287	1936	80
288	1943	73
289	1949	67
290	1956	60
291	1962	53
292	1968	47
293	1976	40
294	1982	33
295	1990	26
296	1997	20
297	2006	13
298	2013	6
299	2022	0
